Pillar,Category,Assessment Parameter,Level 1: Not Initiated,Level 2: Emerging,Level 3: Established,Level 4: Advanced,Level 5: NZEB Optimized
,,Q26. Digital Literacy (BMS/Software) marks = 1.5625/100,Staff cannot operate the BMS; rely entirely on external vendors for any system changes.(marks = 0.3125),Can view basic BMS dashboards but cannot adjust setpoints or diagnose alarms.(marks = 0.625),"Proficient in standard BMS operations, scheduling, and basic troubleshooting.",Advanced use of analytics software to identify energy waste in real-time.,Expert Digital Fluency: Able to reprogram control logic and integrate new IoT sensors or AI tools independently.
,,Q27. Sustainability Culture & KPIs marks = 1.5625/100,No performance targets; staff are not incentivized or evaluated based on energy savings.(marks = 0.3125),"Unofficial interest in saving energy, but no formal recognition or goals.(marks = 0.625)",Energy savings are a part of the annual facility performance review.(marks = 0.9375),KPI-Driven Team: Clear monthly energy reduction targets with financial or career incentives for the team..(marks = 1.25),Culture of Excellence: Total team alignment; energy conservation is a core value in every operational decision..(marks = 1.5625)
,,Q28. Knowledge Transfer & Succession marks = 1.5625/100,"Knowledge is ""in the head"" of one person; no documentation or training for new hires.(marks = 0.3125)","Informal ""on-the-job"" shadowing; no structured energy training materials.(marks = 0.625)",Standard Operating Procedures (SOPs) for energy management are documented.(marks = 0.9375),Digital knowledge base exists with video tutorials and training logs for all technical staff..(marks = 1.25),"Continuous Learning Hub: Structured, ongoing training program that evolves with new technologies..(marks = 1.5625)"
,Occupant Behavior & Engagement= full marks = 6.25/100,Q29. Engagement & Communication marks = 1.5625/100,No Engagement: Occupants are unaware of the building’s energy goals or their impact on them.(marks = 0.3125),"Signage/Posters: Basic ""Turn off lights"" stickers or general sustainability posters are visible.(marks = 0.625)",Monthly Energy Reports: Periodic newsletters or reports are shared with occupants regarding usage.(marks = 0.9375),Tenant Dashboards: Real-time digital displays in lobbies or apps showing live energy consumption data..(marks = 1.25),"Direct Energy-Use Incentives: Financial rewards, rent credits, or ""Green Leases"" that reward tenants for hitting NZEB targets..(marks = 1.5625)"
,,Q30. Control Over Environment marks = 1.5625/100,No individual control; occupants often use personal fans to stay comfortable.(marks = 0.3125),Limited manual control (local switches) but often left on after hours.(marks = 0.625),"Occupants can adjust local settings within a ""Green Range"" (e.g., +/- 2 degrees).(marks = 0.9375)",Adaptive comfort settings; occupants are prompted to use natural ventilation when appropriate..(marks = 1.25),"Biophilic & Smart Control: Occupants use a personal app to vote on comfort levels, which the AI uses to optimize the whole floor."
,,Q31. Equipment & Plug-Load Policy marks = 1.5625/100,"No policy; personal electronics (kettles, chargers) are used and left plugged in 24/7.(marks = 0.3125)",Informal requests to unplug; cleaning staff may turn off some items.(marks = 0.625),"Formal ""After-Hours"" policy; designated ""Power-Down"" zones for shared equipment.(marks = 0.9375)","Smart power strips and ""Master Switches"" used to kill standby power automatically..(marks = 1.25)",Total Plug-Load Integration: All personal equipment is energy-rated and integrated into the building’s energy budget..(marks = 1.5625)
,,Q32. Occupant Education & Training marks = 1.5625/100,"No orientation for new tenants/employees regarding the building's ""Green"" features.(marks = 0.3125)",Basic welcome flyer mentioning recycling and light switches.(marks = 0.625),"Annual ""Sustainability Day"" or workshop to explain building features and EUI targets.(marks = 0.9375)",Continuous feedback loops; occupants receive prompts when their behaviour deviates from NZEB goals..(marks = 1.25),"Active Participants: Occupants are trained as ""Energy Champions"" and actively participate in annual NZEB audits."
Financial Readiness,Capital Expenditure (CapEx) & Budgeting= full marks = 6.25/100,Q33. CapEx Allocation Strategy marks = 1.5625/100,No Budget Available: There is no capital allocated for energy efficiency; any spending is for emergency repairs only.(marks = 0.3125),Case-by-Case Approval: Energy projects must be proposed individually and compete with all other business expenses for funding.(marks = 0.625),"Annual ""Green"" Budget: A recurring yearly budget is set aside specifically for sustainability and energy-saving projects.(marks = 0.9375)",Multi-Year Retrofit Fund: A long-term sinking fund or ring-fenced capital exists to support phased deep energy retrofits..(marks = 1.25),"Dedicated Net-Zero Capital: Specific, high-volume capital is secured and ready for full NZEB transition (e.g., Solar PV + Full HVAC overhaul)..(marks = 1.5625)"
,,Q34. Investment Prioritization marks = 1.5625/100,Financial decisions are made solely on the lowest initial purchase price (First Cost).(marks = 0.3125),Energy efficiency is considered only if the equipment is already being replaced.(marks = 0.625),"""Life-Cycle Cost"" is considered, but short-term ROI still dictates most investment decisions.(marks = 0.9375)","Projects are prioritized based on their contribution to the building's NZEB roadmap, not just immediate ROI..(marks = 1.25)",Carbon-Weighted Investing: Capital is allocated based on the Cost of Carbon Avoided alongside financial returns.
,,Q35. Operational Savings Reinvestment marks = 1.5625/100,Energy savings from efficiency projects go back into the general profit pool with no tracking.(marks = 0.3125),Savings are tracked but are used to reduce overall operating expenses (OpEx) without being reinvested.(marks = 0.625),A portion of energy savings is informally recognized as proof to justify future small projects.(marks = 0.9375),"Internal Carbon Fee: The building charges itself for energy waste, using that money to fund further green upgrades..(marks = 1.25)",Self-Funding Model (Revolving Fund): 100% of verified energy savings are automatically reinvested into the next NZEB project..(marks = 1.5625)
,,Q36. Procurement & Vendor Policy marks = 1.5625/100,No Green procurement policy; vendors are selected based on the lowest bid only.(marks = 0.3125),"Vendors are asked about their environmental policy, but it carries no weight in the final selection.(marks = 0.625)",Minimum efficiency standards are included in all procurement contracts for new equipment.(marks = 0.9375),Vendors must provide verified energy ratings or performance guarantees for all major assets..(marks = 1.25),Performance-Based Contracting: Vendors are paid based on the actual energy savings their equipment or service achieves..(marks =
,Return on Investment (ROI)= full marks = 6.25/100,Q37. ROI Acceptance (Payback Period) marks = 2.0833/100,<1 Year Required: Only projects with near-instant payback are considered(marks = 0.4167),2-4 Year Requirement: Standard commercial horizon; limits investment to like LEDs.(marks = 0.8334),5-7 Year Requirement: Typical Green Building horizon; allows for basic HVAC and sensor upgrades.(marks = 1.2501),8-10 Year Requirement: Long-term strategic horizon; allows for significant renewable energy and envelope upgrades.(marks = 1.6668),"Lifecycle Cost (LCC) Approach: Decisions are based on total cost of ownership over 10+ years, accounting for rising energy costs.(marks = 2.0833)"
,,Q38. Valuation & Asset Worth,Energy efficiency is not factored into the building's market value or rental rates.(marks = 0.4167),"General awareness that ""green"" is better, but no formal impact on asset valuation.(marks = 0.8334)","Building marketed as ""Efficient""; basic premium on rental or resale value due to low OpEx.(marks = 1.2501)",Formal valuation includes energy savings and carbon risk mitigation as a core asset value.(marks = 1.6668),"NZEB Asset Premium: Building is valued as a ""future-proof"" asset; zero carbon risk leads to lower insurance/finance rates.(marks = 2.0833)"
,,Q39. Risk Assessment,No consideration for future electricity price hikes or carbon taxes.(marks = 0.4167),Reactive approach to utility price changes; no long-term energy risk planning.(marks = 0.8334),Periodic analysis of energy market trends; basic budget buffers for price volatility.(marks = 1.2501),Active energy risk management; hedging and efficiency used to protect against utility spikes.(marks = 1.6668),Resilience-Based Finance: Investment is prioritized specifically to eliminate energy price risk and carbon tax liability.
,Green Finance & External Funding= full marks = 6.25/100,Q40. Access to Green Capital,"Unaware of Options: No knowledge of specialized green loans, grants, or tax incentives available for retrofits.(marks = 0.4167)","Aware but No Action: General knowledge exists, but no formal inquiries or applications have been initiated.(marks = 0.8334)",Applied for Green Loans: Currently in the process of applying for or has previously used basic sustainability grants.(marks = 1.2501),"Secured Green Financing: Utilizing low-interest ""Green Loans"" specifically for deep energy upgrades.(marks = 1.6668)",Utilizing Carbon Offsets/PPAs: Leveraging advanced tools like Power Purchase Agreements (PPAs) or selling Carbon Credits to fund the NZEB transition.(marks = 2.0833)
,,Q41. Incentive & Subsidy Utilization,No utilization of government or utility-based rebates; all upgrades are 100% self-funded.(marks = 0.4167),"Ad-hoc use of small rebates (e.g., lighting equipment rebates) when convenient.(marks = 0.8334)",Systemic tracking and application for all available local and national energy efficiency incentives.(marks = 1.2501),"Strategic alignment with utility ""Demand Response"" programs to generate recurring revenue.(marks = 1.6668)","Maximum Subsidy Optimization: Every available tax credit, grant, and utility incentive is integrated into the project's financial stack.(marks = 2.0833)"
,,Q42. Performance-Based Contracting,"Traditional ""Bid-and-Build"" contracts with no guarantees on actual energy savings.(marks = 0.4167)",Standard maintenance contracts with basic service level agreements (SLAs).(marks = 0.8334),Service contracts include minor clauses regarding energy efficiency performance.(marks = 1.2501),Energy Performance Contracting (EPC): Using a third party Energy Service Company (ESCO) to fund and guarantee energy savings over time.(marks = 1.6668),"Energy-as-a-Service: Paying for ""comfort"" or ""lighting"" as a service, where the provider owns the risk and the energy bill."
,Valuation & Market Strategy= full marks = 6.25/100,Q43. Valuation Strategy,No Asset Link: Building value is based purely on location and square footage; energy performance is ignored in appraisals.(marks = 0.4167),"Basic Awareness: General understanding that efficiency reduces OpEx, but no formal data is used during valuation.(marks = 0.8334)","Marketing as ""Green"": Building is marketed using its green certifications (e.g., LEED/Green Mark) to attract high-quality tenants.(marks = 1.2501)","Premium ""Green"" Rental Rate: Tangible evidence that the building commands higher rent or lower vacancy rates due to its efficiency.(marks = 1.6668)","Net-Zero Asset Valuation: The building is valued as a ""Future-Proof"" asset; Net-Zero status is a core multiplier in the final appraisal.(marks = 2.0833)"
,,Q44. Operating Expense (OpEx) Impact,Energy costs are viewed as a fixed cost that cannot be changed; no impact on Net Operating Income (NOI).(marks = 0.4167),"OpEx is tracked, but savings from efficiency are not explicitly linked to increased property value.(marks = 0.8334)",Efficiency projects are justified by their direct impact on increasing Net Operating Income (NOI).(marks = 1.2501),"Real-time energy data is used to provide transparent ""Total Occupancy Cost"" estimates to prospective tenants.(marks = 1.6668)",OpEx Minimization: Energy costs are so low/predictable that the building has a significant competitive advantage in the market.(marks = 2.0833)
,,Q45. Carbon Risk & Stranded Assets,"No awareness of ""Stranded Asset"" risk; no concern that the building might become obsolete due to climate laws.(marks = 0.4167)","Awareness that future regulations might require upgrades, but no financial risk is modeled.(marks = 0.8334)","Basic risk assessment of potential ""Carbon Taxes"" or fines for poor building performance.(marks = 1.2501)","Financial modeling includes the ""Value at Risk"" (VaR) from upcoming environmental mandates or local laws.(marks = 1.6668)",Resilience Premium: Resilience to carbon taxes and grid instability secures the property’s value as a low-risk asset.(marks = 2.0833)
Policy & Regulatory Readiness(full marks = 20/100),Internal Corporate Goals & Strategy    ,Q46. Internal ESG & Climate Goals marks = 1.6667,No ESG Policy: No environmental or social governance policy exists; sustainability is not a corporate priority.(marks=0.3333),"Generic Sustainability Goal: A public statement exists (e.g., ""We aim to be green""), but lacks specific metrics or deadlines.(marks = 0.6666)","Net-Zero Target Set: A formal commitment to achieve Net-Zero by a specific date (e.g., 2040) is signed by leadership.(marks =0.9999)",Detailed NZEB Roadmap: A step-by-step technical and financial plan is in place to reach the Net-Zero goal for this specific building.(marks = 1.3332),Verified Science-Based Target: Goals are externally verified and aligned with the 1.5 Celcius Paris Agreement pathway.(marks=1.6667)
,,Q47. Executive Leadership & Governance marks = 1.6667,No executive oversight; sustainability tasks are assigned to junior staff with no budget authority.(marks=0.3333),"A ""Green Committee"" exists but has no formal power to influence major CAPEX decisions.(marks = 0.6666)",A Sustainability Manager or Director reports to the board on energy performance annually.(marks =0.9999),Energy and Carbon targets are part of the CEO/Executive performance and compensation package.(marks = 1.3332),Board-Level Accountability: The Board of Directors actively reviews NZEB progress quarterly as a core business risk/opportunity.(marks=1.6667)
,,Q48. Internal Carbon Pricing marks = 1.6667,No internal cost assigned to carbon emissions or energy waste.(marks=0.3333),"General awareness of carbon footprint, but it does not affect internal project approvals.(marks = 0.6666)","Shadow carbon pricing is used to ""test"" how future taxes might impact the building's bottom line.(marks =0.9999)",An actual internal carbon fee is charged to departments/tenants based on their energy use.(marks = 1.3332),Carbon-Positive Reinvestment: Revenue from internal carbon fees is 100% dedicated to funding NZEB retrofits.(marks=1.6667)
,Reporting & Transparency ,Q49. Energy & Carbon Disclosure marks = 1.6667,No Energy Disclosure: Energy data is considered private; no internal or external sharing of performance.(marks=0.3333),Internal Tracking Only: Energy data is recorded for accounting purposes but is not shared outside the finance/FM team.(marks = 0.6666),Annual Green Reporting: Building performance is summarized in a yearly Sustainability or ESG report for stakeholders.(marks =0.9999),Public Carbon Disclosure: Detailed carbon footprint (Scope 1-Direct Emissions & 2-Indirect Emissions) is published on platforms like CDP (Carbon Disclosure Project) or GRESB (Global Real Estate Sustainability Benchmark).(marks = 1.3332),Real-Time Public Dashboard: Live energy and carbon intensity data are displayed on a public website or lobby screen.(marks=1.6667)
,,Q50. Benchmarking & Peer Comparison marks = 1.6667,No comparison with similar buildings; no awareness of how the building performs against its peers.(marks=0.3333),Informal comparison with previous years' bills; no external benchmarking used.(marks = 0.6666),Standard Benchmarking: Building is ranked against national averages(marks =0.9999),"Active Peer Competition: Building participates in regional ""Green Building"" challenges or leaderboards.(marks = 1.3332)","Market Leader Status: The building sets the regional benchmark for NZEB performance, influencing local policy and standards.(marks=1.6667)"
,,Q51. Data Verification & Auditing marks = 1.6667,No external audits; energy data is self-reported and never verified for accuracy.(marks=0.3333),"Periodic internal reviews of energy bills, but no formal technical audit process.(marks = 0.6666)",Annual Energy Audit: A professional third-party auditor reviews the building’s energy systems and data once a year.(marks =0.9999),"Third-Party Data Verification: Carbon and energy data are verified by an accredited body (e.g., ISO 14064 or equivalent).(marks = 1.3332)",Continuous Digital Audit: BMS data is automatically verified in real-time by a third-party digital platform to ensure NZEB integrity.
,Grid Interaction & Energy Policy ,Q52. Grid Policy & Connectivity marks = 1.6667,"No Grid Interaction: Building is either off-grid or has a passive, one-way connection with no ability to manage flow.(marks=0.3333)",Standard Connection: Simple utility connection; building consumes power as needed without any intelligence or feedback.(marks = 0.6666),Net-Metering Enabled: The building is legally and technically equipped to export excess solar power back to the grid.(marks =0.9999),Smart-Grid Ready: Building can respond to grid signals (Price-based or Load-based) to shift its energy demand.(marks = 1.3332),"Virtual Power Plant (VPP): The building acts as a grid resource, aggregating solar and battery storage to support grid stability.(marks=1.6667)"
,,Q53. Demand Response Participation marks = 1.6667,"No capability to reduce load during grid peaks; high ""Peak Demand"" charges.(marks=0.3333)",Manual load shedding (turning off non-essential lights) during power shortages or peak hours.(marks = 0.6666),Automated Load Shedding: BMS automatically dims lights or adjusts AC setpoints when notified of a grid peak.(marks =0.9999),"Active Demand Response: Building participates in utility programs, receiving payments to reduce load on demand.(marks = 1.3332)",Bi-Directional Support: Building uses on-site batteries to feed the grid during shortages(marks=1.6667)
,,Q54. Regulatory & Code Compliance marks = 1.6667,Building fails to meet current minimum national energy efficiency or building codes.(marks=0.3333),Compliant with basic building codes but makes no effort to exceed them.(marks = 0.6666),"Exceeds Local Code: Building is designed to ""Green Building"" standards that go beyond the legal minimum.(marks =0.9999)",Pre-Compliant for NZEB: Already meets future mandated efficiency codes that are not yet legally required.,Policy Trailblazer: Building performance is so high it is used by regulators to draft new NZEB national standards.(marks=1.6667)
,Code Compliance ,Q55. Energy Code Alignment marks = 1.25,Below Current Code: Building fails to meet current minimum national energy efficiency or building codes.(marks=0.25),Meets Baseline Code: Compliant with basic building codes but makes no effort to exceed the legal minimum requirements.(marks = 0.5),"Exceeds Green Building Code: Building performance surpasses standard green certifications (e.g., LEED Silver/Gold or SLGBC).(marks =0.75)","Prepared for Future Mandates: Already meets proposed future energy codes (e.g., 2030 targets) before they are legally enforced.(marks = 1)",Defines Local Best Practice: The building’s performance is so high it is used as a case study for drafting new national NZEB standards.(marks = 1.25)
,,Q56. Compliance Monitoring marks = 1.25,No process for checking code compliance; building has not been audited since original construction.(marks=0.25),"Informal internal checks for compliance, usually only during major renovations.(marks = 0.5)",Regular internal audits to ensure the building stays compliant with evolving local environmental laws.(marks =0.75),Automated compliance tracking via digital tools that alert management to new or upcoming regulations.(marks = 1),Proactive Compliance: Building is continuously updated to stay ahead of the most stringent international NZEB standards.(marks = 1.25)
